config_id,embedding,chunking,top_k,temperature,thinking,accuracy,precision,recall,specificity,f1,latency_mean_sec
1,EMB-A,CHUNK-A,1,0.0,False,0.64,0.64,0.64,0.64,0.64,49.2562
2,EMB-A,CHUNK-A,3,0.0,False,0.6979,0.7045,0.6596,0.74,0.6813,94.9308
3,EMB-A,CHUNK-A,5,0.0,False,0.66,0.6739,0.62,0.7,0.6458,143.3575
4,EMB-A,CHUNK-A,10,0.0,False,0.6438,0.7,0.5526,0.74,0.6176,226.7477
5,EMB-A,CHUNK-A,1,0.3,False,0.64,0.64,0.64,0.64,0.64,48.6506
6,EMB-A,CHUNK-A,3,0.3,False,0.68,0.6957,0.64,0.72,0.6667,94.5952
7,EMB-A,CHUNK-A,5,0.3,False,0.65,0.6596,0.62,0.68,0.6392,144.8403
8,EMB-A,CHUNK-A,10,0.3,False,0.6575,0.7097,0.5789,0.74,0.6377,232.3893
9,EMB-A,CHUNK-B,1,0.0,False,0.7,0.7273,0.64,0.76,0.6809,37.3475
10,EMB-A,CHUNK-B,3,0.0,False,0.68,0.7143,0.6,0.76,0.6522,55.2299
11,EMB-A,CHUNK-B,5,0.0,False,0.67,0.7073,0.58,0.78,0.6374,73.5526
12,EMB-A,CHUNK-B,10,0.0,False,0.66,0.6667,0.64,0.68,0.6531,123.5222
13,EMB-A,CHUNK-B,1,0.3,False,0.69,0.7111,0.64,0.74,0.6737,36.3627
14,EMB-A,CHUNK-B,3,0.3,False,0.69,0.7317,0.6,0.78,0.6593,55.2689
15,EMB-A,CHUNK-B,5,0.3,False,0.66,0.6905,0.58,0.76,0.6304,75.5458
16,EMB-A,CHUNK-B,10,0.3,False,0.67,0.6809,0.64,0.7,0.6598,129.049
17,EMB-B,CHUNK-A,1,0.0,False,0.7,0.6724,0.78,0.62,0.7222,51.2441
18,EMB-B,CHUNK-A,3,0.0,False,0.66,0.6538,0.68,0.64,0.6667,103.7983
19,EMB-B,CHUNK-A,5,0.0,False,0.66,0.6538,0.68,0.64,0.6667,157.6775
20,EMB-B,CHUNK-A,10,0.0,False,0.7143,0.72,0.6207,0.8,0.6667,243.5881
21,EMB-B,CHUNK-A,1,0.3,False,0.7,0.6786,0.76,0.64,0.717,51.3916
22,EMB-B,CHUNK-A,3,0.3,False,0.66,0.6538,0.68,0.64,0.6667,104.6302
23,EMB-B,CHUNK-A,5,0.3,False,0.66,0.6538,0.68,0.64,0.6667,155.6751
24,EMB-B,CHUNK-A,10,0.3,False,0.7302,0.75,0.6207,0.84,0.6792,243.1151
25,EMB-B,CHUNK-B,1,0.0,False,0.61,0.6,0.66,0.56,0.6286,36.7534
26,EMB-B,CHUNK-B,3,0.0,False,0.69,0.7317,0.6,0.78,0.6593,56.3271
27,EMB-B,CHUNK-B,5,0.0,False,0.68,0.7368,0.56,0.8,0.6364,76.096
28,EMB-B,CHUNK-B,10,0.0,False,0.71,0.8,0.56,0.86,0.6588,129.7346
29,EMB-B,CHUNK-B,1,0.3,False,0.6,0.5926,0.64,0.56,0.6154,36.5185
30,EMB-B,CHUNK-B,3,0.3,False,0.69,0.7317,0.6,0.78,0.6593,56.5346
31,EMB-B,CHUNK-B,5,0.3,False,0.68,0.7368,0.56,0.8,0.6364,76.7577
32,EMB-B,CHUNK-B,10,0.3,False,0.71,0.8,0.56,0.86,0.6588,133.4403
